Year,Precipitation
1899.0,-999.99
1900.0,131.85083333333333
1901.0,-999.99
1902.0,130.59833333333333
1903.0,158.87166666666667
1904.0,123.34250000000002
1905.0,169.73583333333332
1906.0,-999.99
1907.0,133.41916666666668
1908.0,139.94583333333335
1909.0,144.94249999999997
1910.0,119.28916666666665
1911.0,-999.99
1912.0,125.1475
1913.0,141.995
1914.0,157.14916666666664
1915.0,94.88333333333334
1916.0,-999.99
1917.0,156.2408333333333
1918.0,141.2825
1919.0,115.72833333333334
1920.0,156.0566666666667
1921.0,208.91416666666666
1922.0,-999.99
1923.0,159.6625
1924.0,-999.99
1925.0,165.09
1926.0,138.43333333333334
1927.0,124.92583333333334
1928.0,142.93333333333334
1929.0,-999.99
1930.0,127.73583333333335
1931.0,129.60333333333335
1932.0,148.23166666666668
1933.0,108.56583333333333
1934.0,170.41416666666666
1935.0,142.9033333333333
1936.0,133.45833333333334
1937.0,103.56166666666667
1938.0,-999.99
1939.0,136.3358333333333
1940.0,127.64333333333336
1941.0,108.12750000000001
1942.0,147.92166666666665
1943.0,183.8075
1944.0,150.965
1945.0,139.02
1946.0,-999.99
1947.0,123.2275
1948.0,160.6775
1949.0,189.34249999999997
1950.0,154.77083333333334
1951.0,121.585
1952.0,137.65916666666666
1953.0,181.02583333333334
1954.0,146.7025
1955.0,143.2025
1956.0,150.15666666666667
1957.0,180.05249999999998
1958.0,123.49916666666667
1959.0,114.83666666666666
1960.0,101.56666666666666
1961.0,-999.99
1962.0,145.51583333333335
1963.0,119.86750000000002
1964.0,168.49833333333333
1965.0,114.09083333333335
1966.0,133.33916666666667
1967.0,207.755
1968.0,123.40833333333332
1969.0,-999.99
1970.0,131.53833333333333
1971.0,193.31666666666663
1972.0,-999.99
1973.0,196.09333333333336
1974.0,144.59416666666667
1975.0,187.18583333333333
1976.0,129.5608333333333
1977.0,121.47666666666667
1978.0,153.7775
1979.0,156.48
1980.0,144.26333333333332
1981.0,152.62250000000003
1982.0,157.0041666666667
1983.0,219.97000000000003
1984.0,129.9675
1985.0,145.80499999999998
1986.0,169.55666666666667
1987.0,-999.99
1988.0,157.30666666666667
1989.0,206.58749999999998
1990.0,221.41833333333332
1991.0,159.67916666666665
1992.0,195.68083333333334
1993.0,145.41333333333333
1994.0,170.18000000000004
1995.0,167.76000000000002
1996.0,107.18916666666667
1997.0,171.9525
1998.0,171.39499999999998
1999.0,178.24333333333334
2000.0,170.87833333333333
2001.0,145.02083333333334
2002.0,128.16083333333333
2003.0,164.06333333333333
2004.0,175.63416666666663
2005.0,191.26166666666668
2006.0,152.05083333333334
2007.0,200.8475
2008.0,179.04333333333332
2009.0,149.3425
2010.0,112.48166666666667
2011.0,212.10166666666666
2012.0,166.8791666666667
2013.0,-999.99
2014.0,158.38666666666668
2015.0,201.2175
2016.0,162.70333333333335
2017.0,200.51916666666668
2018.0,158.26916666666665
2019.0,-999.99
2020.0,-999.99
